INDEX;MEASURED;PREDICTED
385;11.875;11.9707
386;11.7436;10.7411
387;41.1538;42.4423
388;5.9071;2.9078
389;38.7179;40.11
390;42.7564;42.4734
391;13.3173;13.1906
392;4.1026;4.2099
393;4.4519;4.0206
394;7.0128;6.4187
395;4.9327;4.7533
396;31.2821;32.4983
397;29.2308;29.1864
398;38.9744;37.6033
399;2.5128;4.209
400;26.0256;25.4703
401;29.0064;27.8633
402;1.2115;1.3342
403;18.9231;17.8894
404;12.0769;12.1988
405;17.3814;18.6765
406;10.4776;11.1334
407;35.2564;33.9228
408;25.3526;25.0361
409;6.5994;6.9713
410;25.2885;25.7429
411;2.5577;2.59
412;14.0673;13.4703
413;13.4199;13.3771
414;8.8429;9.5359
415;32.9808;32.3003
416;15.3397;16.5781
417;11.0577;10.6504
418;12.0737;11.6578
419;14.1218;13.8018
420;7.7981;5.024
421;8.0769;8.9704
422;34.0064;35.0612
423;24.7436;24.3269
424;40.7372;41.8964
425;39.4231;37.9864
426;8.234;7.981
427;0.1859;0.3777
428;10.3237;9.1284
429;16.1058;16.0829
430;15.8686;16.3271
431;41.6346;41.1165
432;13.7244;13.7282
433;20.3718;20.5117
434;5.7179;5.6299
435;0.5385;0.6063
436;23.9103;23.0946
437;14.5641;13.6187
438;11.2372;10.5859
439;29.7756;29.7613
440;23.6859;23.9635
441;30.8654;30.6684
442;19.6122;18.9363
443;3.8301;3.529
444;17.5385;16.3282
445;4.0513;4.2418
446;8.1026;9.1958
447;13.5417;13.2149
448;31.2821;32.8475
449;25.7372;25.1715
450;6.4744;6.3974
451;6.2564;3.5579
452;12.2212;11.8403
453;5.2532;5.4681
454;4.0705;3.7431
455;37.4359;37.8232
456;0.6699;0.5689
457;8.7788;9.2799
458;11.6763;11.6548
459;30.5769;30.1913
460;33.6859;34.1693
461;25.8974;25.782
462;15.4519;15.0965
463;30.3846;30.7197
464;3.0577;3.3342
465;26.6026;26.5284
466;1.7821;2.1061
467;6.3526;6.0554
468;10.0545;10.7156
469;13.2949;13.5903
470;9.2788;8.4448
471;13.6186;13.9461
472;25.5449;26.2887
473;10.8654;11.3226
474;13.9295;13.8497
475;29.5513;29.9798
476;2.4647;2.5953
477;20.9647;21.5954
478;18.0609;16.2616
479;21.3558;21.2756
480;6.1699;6.5036
481;27.0192;26.7016
482;9.484;9.8611
483;28.5897;28.0297
484;9.3109;9.6089
485;49.359;49.6117
486;41.6026;41.6912
487;4.5545;4.8597
488;36.6987;37.3264
489;19.1571;20.978
490;12.8269;13.0591
491;8.2917;8.7979
492;2.1603;1.7682
493;0.6635;0.9866
494;9.0224;11.8411
495;5.1795;6.1771
496;44.2628;42.2326
497;36.3141;36.8525
498;30.5769;30.2579
499;20.3429;19.9112
500;14.5641;9.3788
501;15.4038;14.86
502;9.1795;10.1498
503;0.1122;0.2085
504;29.7115;29.6219
505;30.0962;30.5541
506;24.5192;24.2819
507;15.9199;16.1672
508;9.1474;9.0865
509;26.6346;25.7062
510;2.4776;3.0804
511;3.8718;3.7999
512;0.8077;1.3315
513;42.2756;42.1533
514;7.4135;7.0082
515;16.8205;16.5862
516;5.0321;5.5286
517;11.3429;11.616
518;20.9263;19.7239
519;0.0833;0.5997
520;1.6218;1.4705
521;33.3974;34.1204
522;20.0192;20.7675
523;31.3782;32.7841
524;20.8974;21.0302
525;37.4359;38.4501
526;13.1667;13.4608
527;31.4423;32.3229
528;9.6955;9.841
529;21.4744;21.7968
530;3.1891;3.3326
531;28.7179;28.6694
532;37.4679;37.2265
533;4.5256;4.3996
534;27.4359;25.6018
535;1.8654;1.3963
536;5.891;5.6957
537;2.9135;2.817
538;18.1923;18.4221
539;30.9295;30.6056
540;0.6186;0.9157
541;25.7051;26.2835
542;0.5833;0.3743
543;15.3974;15.0973
544;3.8429;3.9175
545;4.1635;4.3506
546;20.7051;20.5115
547;16.4487;15.3739
548;37.0513;36.8492
549;5.9038;6.1577
550;42.9487;42.6851
551;7.0929;7.8072
552;20.3686;20.5829
553;14.4872;14.7228
554;8.391;8.202
555;14.3558;14.0332
556;2.8558;2.9574
557;8.5;9.7091
558;41.6026;40.6595
559;21.8397;21.6166
560;8.6827;10.572
561;30.0641;29.4312
562;48.3654;48.8207
563;41.3462;40.8645
564;12.0192;12.0585
565;26.0577;26.307
566;17.1442;17.3512
567;5.8173;5.6423
568;5.516;5.966
569;27.4038;26.1709
570;12.4103;15.8612
571;45.5128;45.7782
572;17.0545;16.603
573;0.4968;0.6011
574;12.2788;13.0515
575;30.0641;29.7178
576;17.9231;19.1365
577;23.2372;23.7633
578;18.1827;18.4839
579;19.6314;19.4275
580;7.6635;7.2187
581;34.1987;32.9627
582;4;3.9039
583;15.5833;13.8365
584;2.6699;2.6284
585;6.9712;2.7277
586;12.4103;14.0248
587;28.0769;30.1535
588;8.7308;9.5577
589;48.2372;48.5377
590;7.0192;6.8131
591;41.4423;42.0404
592;1.375;1.5434
593;30.2564;30.4628
594;43.2372;41.7807
595;26.2821;26.7618
596;1.2212;1.1264
597;13.3333;14.1377
598;13.6282;13.0342
599;6.5737;6.1998
600;4.6506;5.1888
601;15.2917;14.9903
602;7.9744;10.4614
603;1.8686;2.4225
604;27.6603;27.9931
605;42.9167;43.346
606;34.9679;35.7121
607;11.1442;11.0856
608;29.5833;28.9324
609;1.4583;1.9562
610;40;41.5392
611;30.9295;29.8146
612;2.0673;1.7084
613;17.2724;16.8919
614;29.7436;30.8444
615;29.1987;29.627
616;2.6731;3.395
617;5.0994;5.1923
618;18.3494;17.8734
619;5.1827;5.5259
620;3.2147;1.7507
621;29.4231;28.9506
622;8.1122;7.6066
623;26.9872;27.6658
624;39.391;40.2884
625;25.7692;26.5575
626;23.3333;24.251
627;8.2853;7.9635
628;25.2244;26.5098
629;36.6987;36.9185
630;39.7436;41.2413
631;2.6667;3.4728
632;11.2564;12.1054
633;23.3974;21.7003
634;11.5256;11.539
635;23.9423;25.3983
636;6.7212;6.398
637;21.1538;21.6864
638;31.9551;32.9406
639;9.0032;10.4847
640;34.5192;34.6438
641;24.391;24.68
642;23.7821;22.8728
643;1.4936;1.722
644;7.9551;8.1132
645;11.7724;12.1134
646;29.2308;28.8492
647;1.4006;0.8949
648;3.5224;2.2832
649;6.3718;9.9482
650;20.2019;20.3963
651;37.3077;37.6715
652;39.7115;42.7752
653;32.5321;31.7785
654;11.2885;11.2073
655;4.9423;5.5733
656;3.6763;3.4066
657;18.5288;17.7785
658;12.9551;13.6334
659;5.3077;4.007
660;3.75;3.5022
661;14.8814;15.4315
662;6.1731;6.6345
663;13.5288;13.7322
664;32.5;31.9858
665;2.266;2.5793
666;12.7596;11.511
667;37.1795;37.6226
668;0.9167;0.6546
669;15.3846;14.1627
670;14.0737;14.1435
671;2.6186;2.4124
672;16.9071;17.2849
673;6.2596;5.4295
674;4.2724;4.3748
675;1.4744;0.7677
676;23.2692;23.3593
677;26.6987;27.5505
678;27.8846;28.157
679;0.7147;0.4176
680;13.3173;11.8486
681;23.141;22.2451
682;2.3397;2.335
683;7.2244;7.8006
684;23.8141;23.6422
685;22.6282;22.6704
