ORDEM;MEDIDO;ESTIMADO
3266;313.4404;316.254166
3267;302.2018;306.9168804
3268;150.70556;157.7593807
3269;19.2202;14.92510608
3270;166.789;173.2712055
3271;288.1651;293.888172
3272;56.3303;57.14905234
3273;3.0275;4.148363252
3274;31.7431;41.24389242
3275;7.3853;9.63578369
3276;421.5596;433.7372978
3277;420.1835;418.6007433
3278;54.4495;53.65337054
3279;298.77702;303.290808
3280;141.1468;132.6848874
3281;268.97884;274.8087703
3282;16.6055;16.36070234
3283;16.5596;18.02358096
3284;48.9403;50.02339972
3285;12.7523;17.89916193
3286;226.8349;227.9252917
3287;142.19658;130.4249459
3288;276.5596;262.3846511
3289;23.21779;24.22004047
3290;158.88999;157.3997805
3291;5.5963;6.230270354
3292;3.48071;5.870812927
3293;18.3945;22.11843214
3294;55.7798;60.51229077
3295;11.6514;12.20913457
3296;148.3486;142.8101301
3297;363.7615;360.0347604
3298;87.11195;95.10295606
3299;256.9725;258.4450075
3300;213.8532;210.54317
3301;5.5963;7.81770027
3302;337.06492;354.607405
3303;50.3854;54.32862834
3304;279.2661;268.703653
3305;97.6147;96.72742429
3306;256.2385;260.9677966
3307;55.1835;51.27609485
3308;472.4771;475.274505
3309;408.7156;404.4596318
3310;194.8165;193.956346
3311;29.63315;30.72947313
3312;169.5413;159.8491338
3313;27.844;27.79463308
3314;245.1376;244.1874166
3315;201.055;194.0269785
3316;35.842;33.40447669
3317;200.5963;206.4091517
3318;72.2543;82.33408099
3319;80.1835;79.50467548
3320;21.5138;20.81477845
3321;209.9083;203.772696
3322;520.6422;522.3710506
3323;133.7156;135.1912587
3324;375.2294;373.1496591
3325;30.6881;30.45858179
3326;23.2569;25.14947224
3327;6.5138;10.29935629
3328;8.1193;11.58124826
3329;8.47785;6.806024732
3330;4.3119;7.579248347
3331;5.0917;4.460160304
3332;272.0616;264.5801948
3333;430.3468;412.5841861
3334;392.6605;394.8419031
3335;263.1021;259.9400607
3336;67.2477;63.35690898
3337;46.6604;51.87814581
3338;140.2752;140.6674331
3339;308.1651;303.7866819
3340;171.4679;164.079762
3341;386.6972;386.2364207
3342;330.7339;339.2736471
3343;33.4862;58.86403059
3344;100.0917;99.08763271
3345;40.36609;42.43297131
3346;34.4495;36.81630482
3347;35.5505;31.30294712
3348;13.6697;6.232194914
3349;14.83624;15.24003414
3350;273.211;274.301343
3351;302.2018;295.1802277
3352;249.633;248.3557864
3353;14.0826;17.59215676
3354;45.8257;46.18251103
3355;290.96901;277.8457088
3356;522.0183;525.2353724
3357;3.66892;7.495719383
3358;193.35258;212.0302006
3359;115.8257;118.1611301
3360;376.6055;375.2607689
